name	ghidra_addr	body_bytes	callees	callers
Material	0008c188	104	3	1
MaterialChange	0008c220	24	0	0
MaterialResourceChangeTexture	0008c238	60	1	0
MaterialGetMaterial	0008c274	20	0	1
ChangeCubeTexture	0008c288	96	3	1
HasVibration	0008c2f0	6	0	0
Vibrate	0008c2f6	6	0	0
GetTextWidth	0008c2fc	66	1	1
GetTextHeight	0008c33c	26	0	1
GetLine	0008c354	276	7	1
GetLineArray	0008c488	422	12	1
ArraySetLength<AbyssEngine::String*>	0008c68c	52	2	1
DrawTextLines	0008c6c0	102	3	1
DrawTextLines	0008c726	102	3	0
DrawTextLines	0008c78c	22	1	0
ResourceLoaded	0008c7a4	74	0	1
ReleaseSpriteSystemResource	0008c7f4	28	0	1
ArrayRemoveAll<AbyssEngine::ImageFont*>	0008c80e	34	2	1
ArrayRemoveAll<AbyssEngine::Image2D*>	0008c830	34	2	1
ArrayRemoveAll<AbyssEngine::Mesh*>	0008c852	34	2	1
ArrayRemoveAll<AbyssEngine::Transform*>	0008c874	34	2	1
ArrayRemoveAll<AbyssEngine::Camera*>	0008c896	34	2	1
~Material	0008c8b8	50	3	1
ArrayRemoveAll<AbyssEngine::Material*>	0008c8f0	34	2	1
ArrayRemoveAll<AbyssEngine::SpriteSystem*>	0008c912	34	2	1
SetColor	0008c938	118	1	2
SetProjOrthoMatrix	0008c9b8	182	3	0
ClearBuffer	0008ca84	36	2	1
ClearDepth	0008caa6	8	0	0
EnableClip	0008cab0	132	3	1
