class	method	ghidra_addr	body	callees
PlayerFighter	PlayerFighter	000ec2f8	1234	22
PlayerFighter	~PlayerFighter	000ec824	132	7
(free)	ArrayReleaseClasses<BoundingVolume*>	000ec8bc	80	3
Array<BoundingVolume*>	~Array	000ec90c	22	1
PlayerFighter	~PlayerFighter	000ec922	16	1
PlayerFighter	reset	000ec934	242	4
PlayerFighter	setLevel	000eca30	218	4
PlayerFighter	setMissionCrate	000ecb18	78	5
PlayerFighter	hasMissionCrateCaptured	000ecb78	6	0
PlayerFighter	hasMissionCrateLost	000ecb7e	6	0
PlayerFighter	setShipGroup	000ecb84	26	1
PlayerFighter	hasCrateCaptured	000ecb88	12	0
PlayerFighter	hasCrateLost	000ecb94	6	0
PlayerFighter	setPosition	000ecb9a	28	0
PlayerFighter	setPosition	000ecbb8	110	6
PlayerFighter	setWingmanCommand	000ecc2c	160	4
PlayerFighter	setSpeed	000ecccc	16	0
PlayerFighter	setRotate	000eccdc	24	0
PlayerFighter	setShootError	000eccf4	14	0
PlayerFighter	setBoostProb	000ecd02	6	0
PlayerFighter	removeTrail	000ecd08	28	2
PlayerFighter	setExhaustVisible	000ecd24	48	1
PlayerFighter	cloak	000ecd58	62	1
PlayerFighter	setCloakingPossible	000ecd9c	32	0
PlayerFighter	handleCloaking	000ecdbc	498	7
PlayerFighter	setAIDisabled	000ecfcc	6	0
PlayerFighter	update	000ecfd8	10012	156
PlayerFighter	roll	000ef860	434	5
PlayerFighter	render	000efa50	290	8
PlayerFighter	setBV	000efb84	6	0
PlayerFighter	setBV	000efb8a	44	2
(free)	ArrayAdd<BoundingVolume*>	000efbc4	36	1
PlayerFighter	collide	000efbe8	80	0
PlayerFighter	outerCollide	000efc38	80	0
PlayerFighter	initPush	000efc88	300	7
PlayerFighter	push	000efdc8	322	8
PlayerFighter	awake	000eff2c	48	2
PlayerFighter	revive	000eff5c	278	19
Item	Item	000f0090	22	1
Item	init	000f00a6	82	0
Item	setUnsaleable	000f00fa	6	0
Item	canBeInstalledMultipleTimes	000f0100	10	0
Item	getTotalPrice	000f0124	8	0
Item	getPriceRate	000f0148	36	0
Item	changeAmount	000f0178	8	0
Item	changeStationAmount	000f0190	8	0
Item	changeBlueprintAmount	000f01a0	8	0
Item	getAttribute	000f01b4	46	0
Item	transaction	000f01e8	78	1
Item	transactionBlueprint	000f023c	50	0
Item	isInList	000f026e	50	0
Item	isInList	000f02a0	10	0
Item	isInList	000f02a8	8	0
Item	fabricate	000f02ae	126	4
Item	makeItem	000f0338	18	1
Item	combineItems	000f034a	312	3
Item	extractItems	000f049c	90	4
Item	combineDuplicates	000f0504	130	1
(free)	ArrayRemove<Item*>	000f0586	68	1
Item	mixItems	000f05ca	456	7
Item	equals	000f07a6	20	0
Item	isWeapon	000f07ba	12	0
Item	makeItem	000f07c6	18	1
Item	clone	000f07d8	56	2
Item	makeItem	000f0810	18	1
Item	checkCredits	000f0824	32	1
Item	adjustPrice	000f0848	66	1
Item	checkCargoSpace	000f088c	50	3
Item	isUnsaleable	000f08c4	6	0
PlayerStatic	PlayerStatic	000f08cc	140	3
PlayerStatic	~PlayerStatic	000f0970	16	1
PlayerStatic	getPosition	000f0982	54	1
PlayerStatic	render	000f09b8	6	0
NewsItem	NewsItem	000f09c8	30	0
NewsItem	~NewsItem	000f09e6	20	1
NewsItem	clone	000f09fa	74	2
WantedWindow	WantedWindow	000f0a44	172	4
WantedWindow	init	000f0b38	840	21
WantedWindow	~WantedWindow	000f0ec4	168	9
